Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,text,line,word,mask,annotation
135,P522465.2.1,%akk-x-neoass:{NA₄}KIŠIB=,{na₄}KIŠIB,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,P522465,2,1,,seal identification
136,P522465.2.2,%akk-x-neoass:{m}{d}PA-DI-PAB.MEŠ=,{m}{d}PA-DI-PAB.MEŠ,"['𒁹', '𒀭', '𒉺', '𒁲', '𒉽', '𒈨𒌍']",𒁹𒀭𒉺𒁲𒉽𒈨𒌍,{m}{d}PA-DI-PAB.MEŠ,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522465,2,2,,seal identification
137,P522465.3.1,%akk-x-neoass:{NA₄}KIŠIB=,{na₄}KIŠIB,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,P522465,3,1,,seal identification
138,P522465.3.2,%akk-x-neoass:{m}{d}PA-ma-lik=,{m}{d}PA-ma-lik,"['𒁹', '𒀭', '𒉺', '𒈠', '𒌨']",𒁹𒀭𒉺𒈠𒌨,{m}{d}PA-ma-lik,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522465,3,2,,seal identification
139,P522465.4.1,%akk-x-neoass:PAB=,PAB,['𒉽'],𒉽,PAB,['complete'],0.0,P522465,4,1,,seal identification
140,P522465.4.2,%akk-x-neoass:02=,02,['0₂'],0₂,02,['complete'],0.0,P522465,4,2,,seal identification
141,P522465.4.3,%akk-x-neoass:PAB.MEŠ-e=,PAB.MEŠ-e,"['𒉽', '𒈨𒌍', '𒂊']",𒉽𒈨𒌍𒂊,PAB.MEŠ-e,"['complete', 'complete', 'complete']",0.0,P522465,4,3,,seal identification
142,P522465.4.4,%akk-x-neoass:DUMU=,DUMU,['𒌉'],𒌉,DUMU,['complete'],0.0,P522465,4,4,,seal identification
143,P522465.4.5,%akk-x-neoass:{m}SU-PAB.MEŠ=,{m}SU-PAB.MEŠ,"['𒁹', '𒋢', '𒉽', '𒈨𒌍']",𒁹𒋢𒉽𒈨𒌍,{m}SU-PAB.MEŠ,"['complete', 'complete', 'complete', 'complete']",0.0,P522465,4,5,,seal identification
144,P522465.5.1,%akk-x-neoass:EN=,EN,['𒂗'],𒂗,EN,['complete'],0.0,P522465,5,1,,seal identification
145,P522465.5.2,%akk-x-neoass:E₂=,E₂,['𒂍'],𒂍,E₂,['complete'],0.0,P522465,5,2,,seal identification
